Assembly Name	Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	Annotation Count Gene Total	Annotation Count Gene Protein-coding
ASM227697v1	GCF_002276975.1	Staphylococcus haemolyticus		OG2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2751326	Contig	2017-08-29	3041	2765
ASM279954v1	GCF_002799545.1	Staphylococcus haemolyticus		SH05_17				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2553977	Contig	2017-11-29	2627	2429
ASM290180v1	GCF_002901805.1	Staphylococcus haemolyticus		NCTC 11042				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2472399	Scaffold	2018-01-27	2471	2334
ASM290659v1	GCF_002906595.1	Staphylococcus haemolyticus		83131A				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2610865	Complete Genome	2018-01-30	2537	2380
ASM290661v1	GCF_002906615.1	Staphylococcus haemolyticus		83131B				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2612666	Complete Genome	2018-01-30	2544	2390
ASM293412v2	GCF_002934125.2	Staphylococcus haemolyticus		G811N2B1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2802141	Contig	2018-02-21	3288	2893
ASM295271v2	GCF_002952715.2	Staphylococcus haemolyticus		SGAir0252				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2674594	Complete Genome	2018-02-22	2626	2446
ASM304241v1	GCF_003042415.1	Staphylococcus haemolyticus		SNUC 4966				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2518128	Contig	2018-04-06	2568	2407
ASM304243v1	GCF_003042435.1	Staphylococcus haemolyticus		SNUC 5782				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2499010	Contig	2018-04-06	2540	2378
ASM304245v1	GCF_003042455.1	Staphylococcus haemolyticus		SNUC 4488				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2434412	Contig	2018-04-06	2506	2298
ASM304249v1	GCF_003042495.1	Staphylococcus haemolyticus		SNUC 2814				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2435436	Contig	2018-04-06	2469	2317
ASM304251v1	GCF_003042515.1	Staphylococcus haemolyticus		SNUC 1361				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2515489	Contig	2018-04-06	2530	2383
ASM304253v1	GCF_003042535.1	Staphylococcus haemolyticus		SNUC 1317				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2465668	Contig	2018-04-06	2471	2308
ASM304257v1	GCF_003042575.1	Staphylococcus haemolyticus		SNUC 1584				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2532063	Contig	2018-04-06	2627	2460
ASM304259v1	GCF_003042595.1	Staphylococcus haemolyticus		SNUC 136				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2425647	Contig	2018-04-06	2460	2281
ASM304261v1	GCF_003042615.1	Staphylococcus haemolyticus		SNUC 1450				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2433951	Contig	2018-04-06	2428	2287
ASM304267v1	GCF_003042675.1	Staphylococcus haemolyticus		SNUC 128				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2352206	Contig	2018-04-06	2328	2180
ASM304269v1	GCF_003042695.1	Staphylococcus haemolyticus		SNUC 127				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2411254	Contig	2018-04-06	2431	2262
ASM304301v1	GCF_003043015.1	Staphylococcus haemolyticus		SNUC 1114				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2476938	Contig	2018-04-06	2498	2330
ASM304363v1	GCF_003043635.1	Staphylococcus haemolyticus		SNUC 4637				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2534645	Contig	2018-04-06	2586	2435
ASM304367v1	GCF_003043675.1	Staphylococcus haemolyticus		SNUC 3825				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2462373	Contig	2018-04-06	2469	2314
ASM304369v1	GCF_003043695.1	Staphylococcus haemolyticus		SNUC 2139				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2555895	Contig	2018-04-06	2641	2445
ASM304371v1	GCF_003043715.1	Staphylococcus haemolyticus		SNUC 3453				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2502342	Contig	2018-04-06	2535	2360
ASM304373v1	GCF_003043735.1	Staphylococcus haemolyticus		SNUC 1408				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2547556	Contig	2018-04-06	2607	2473
ASM304375v1	GCF_003043755.1	Staphylococcus haemolyticus		SNUC 220				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2408783	Contig	2018-04-06	2434	2264
ASM304377v1	GCF_003043775.1	Staphylococcus haemolyticus		SNUC 823				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2464192	Contig	2018-04-06	2493	2316
ASM304379v1	GCF_003043795.1	Staphylococcus haemolyticus		SNUC 203				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2476009	Contig	2018-04-06	2557	2361
ASM304381v1	GCF_003043815.1	Staphylococcus haemolyticus		SNUC 123				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2471761	Contig	2018-04-06	2511	2348
ASM304382v1	GCF_003043825.1	Staphylococcus haemolyticus		SNUC 109				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2529407	Contig	2018-04-06	2563	2431
ASM342846v1	GCF_003428465.1	Staphylococcus haemolyticus		0894-2001-2009				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2581605	Scaffold	2018-08-26	2657	2478
ASM342847v1	GCF_003428475.1	Staphylococcus haemolyticus		0878-2001-2009				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2579723	Scaffold	2018-08-26	2654	2485
ASM342854v1	GCF_003428545.1	Staphylococcus haemolyticus		0054-1702-2009				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2547889	Scaffold	2018-08-26	2618	2436
ASM342855v1	GCF_003428555.1	Staphylococcus haemolyticus		0050-1702-2009				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2545011	Scaffold	2018-08-26	2607	2416
ASM357967v1	GCF_003579675.1	Staphylococcus haemolyticus		SNUC 2245				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2389134	Contig	2018-09-20	2447	2248
ASM358078v1	GCF_003580785.1	Staphylococcus haemolyticus		SNUC 5468				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2496264	Contig	2018-09-20	2530	2346
ASM358081v1	GCF_003580815.1	Staphylococcus haemolyticus		SNUC 2184				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2389049	Contig	2018-09-20	2455	2224
ASM358090v1	GCF_003580905.1	Staphylococcus haemolyticus		SNUC 192				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2449402	Contig	2018-09-20	2485	2280
ASM359632v1	GCF_003596325.1	Staphylococcus haemolyticus		VB5326				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2528578	Contig	2018-09-24	2572	2384
ASM359636v3	GCF_003596365.3	Staphylococcus haemolyticus		VB19458				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2699210	Complete Genome	2019-12-16	2673	2455
ASM359638v1	GCF_003596385.1	Staphylococcus haemolyticus		VB840				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2458174	Contig	2018-09-24	2479	2287
ASM395600v1	GCF_003956005.1	Staphylococcus haemolyticus		FDAARGOS_517				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2669504	Complete Genome	2018-12-19	2607	2385
ASM397083v1	GCF_003970835.1	Staphylococcus haemolyticus		MDMC083				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2379185	Contig	2018-12-17	2367	2229
ASM504740v1	GCF_005047405.1	Staphylococcus haemolyticus		22				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2484804	Contig	2019-05-01	2511	2392
ASM504741v1	GCF_005047415.1	Staphylococcus haemolyticus		21				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2683280	Contig	2019-05-01	2806	2608
ASM504746v1	GCF_005047465.1	Staphylococcus haemolyticus		1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2513690	Contig	2019-05-01	2533	2410
ASM504755v1	GCF_005047555.1	Staphylococcus haemolyticus		8				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2532866	Contig	2019-05-01	2579	2452
ASM504835v1	GCF_005048355.1	Staphylococcus haemolyticus		51				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2477092	Contig	2019-05-01	2501	2358
ASM504840v1	GCF_005048405.1	Staphylococcus haemolyticus		24				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2444652	Contig	2019-05-01	2448	2324
ASM504848v1	GCF_005048485.1	Staphylococcus haemolyticus		2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2690445	Contig	2019-05-01	2859	2637
ASM504897v1	GCF_005048975.1	Staphylococcus haemolyticus		7 (A)				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2528658	Contig	2019-05-01	2557	2424
ASM514619v2	GCF_005146195.2	Staphylococcus haemolyticus		12				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2523802	Contig	2019-08-14	2545	2414
ASM514626v2	GCF_005146265.2	Staphylococcus haemolyticus		18				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2688402	Contig	2019-08-14	2800	2591
ASM570643v1	GCF_005706435.1	Staphylococcus haemolyticus		PK-01				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2615683	Complete Genome	2019-05-23	2685	2463
ASM609439v1	GCF_006094395.1	Staphylococcus haemolyticus		ATCC 29970				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2572027	Complete Genome	2019-06-06	2503	2359
ASM654036v1	GCF_006540365.1	Staphylococcus haemolyticus		TCR-5				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2553020	Contig	2019-07-01	2518	2353
ASM654039v1	GCF_006540395.1	Staphylococcus haemolyticus		TCR-7				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2533003	Contig	2019-07-01	2502	2343
ASM700426v1	GCF_007004265.1	Staphylococcus haemolyticus		SDB1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2468753	Contig	2019-07-15	2455	2290
ASM700427v1	GCF_007004275.1	Staphylococcus haemolyticus		SDA2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2444677	Contig	2019-07-15	2427	2265
ASM766551v1	GCF_007665515.1	Staphylococcus haemolyticus		DE0593				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2453985	Scaffold	2019-07-30	2432	2317
ASM766609v1	GCF_007666095.1	Staphylococcus haemolyticus		DE0557				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2434682	Scaffold	2019-07-30	2429	2311
ASM766614v1	GCF_007666145.1	Staphylococcus haemolyticus		DE0553				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2493705	Scaffold	2019-07-30	2490	2358
ASM766701v1	GCF_007667015.1	Staphylococcus haemolyticus		DE0501				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2450739	Scaffold	2019-07-30	2430	2309
ASM766702v1	GCF_007667025.1	Staphylococcus haemolyticus		DE0499				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2433664	Scaffold	2019-07-30	2435	2282
ASM766703v1	GCF_007667035.1	Staphylococcus haemolyticus		DE0500				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2508455	Scaffold	2019-07-30	2472	2344
ASM766719v1	GCF_007667195.1	Staphylococcus haemolyticus		DE0489				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2445083	Scaffold	2019-07-30	2425	2313
ASM766728v1	GCF_007667285.1	Staphylococcus haemolyticus		DE0482				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2554582	Scaffold	2019-07-30	2586	2444
ASM766803v1	GCF_007668035.1	Staphylococcus haemolyticus		DE0439				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2484303	Scaffold	2019-07-30	2466	2344
ASM767342v1	GCF_007673425.1	Staphylococcus haemolyticus		DE0358				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2533984	Scaffold	2019-07-30	2558	2398
ASM767694v1	GCF_007676945.1	Staphylococcus haemolyticus		DE0277				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2472659	Scaffold	2019-07-30	2479	2352
ASM767713v1	GCF_007677135.1	Staphylococcus haemolyticus		DE0263				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2499620	Scaffold	2019-07-30	2561	2418
ASM767720v1	GCF_007677205.1	Staphylococcus haemolyticus		DE0259				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2586166	Scaffold	2019-07-30	2598	2447
ASM767755v1	GCF_007677555.1	Staphylococcus haemolyticus		DE0229				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2689489	Scaffold	2019-07-30	2695	2455
ASM767769v1	GCF_007677695.1	Staphylococcus haemolyticus		DE0217				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2444525	Scaffold	2019-07-30	2401	2283
ASM767771v1	GCF_007677715.1	Staphylococcus haemolyticus		DE0215				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2477284	Scaffold	2019-07-30	2457	2340
ASM767958v1	GCF_007679585.1	Staphylococcus haemolyticus		DE0087				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2478758	Contig	2019-07-30	2453	2308
ASM768001v1	GCF_007680015.1	Staphylococcus haemolyticus		DE0056				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2491261	Scaffold	2019-07-30	2485	2352
ASM768004v1	GCF_007680045.1	Staphylococcus haemolyticus		DE0053				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2533784	Scaffold	2019-07-30	2543	2401
ASM768013v1	GCF_007680135.1	Staphylococcus haemolyticus		DE0081				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2455582	Scaffold	2019-07-30	2460	2290
ASM768035v1	GCF_007680355.1	Staphylococcus haemolyticus		DE0036				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2521199	Scaffold	2019-07-30	2510	2364
ASM768040v1	GCF_007680405.1	Staphylococcus haemolyticus		DE0034				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2467236	Scaffold	2019-07-30	2469	2331
ASM799279v1	GCF_007992795.1	Staphylococcus haemolyticus		NBRC 109768				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2399880	Contig	2019-07-31	2367	2273
ASM918918v2	GCF_009189185.2	Staphylococcus haemolyticus		VB5326				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2699292	Complete Genome	2019-12-16	2719	2471
ASM979131v1	GCF_009791315.1	Staphylococcus haemolyticus		SDF1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2477199	Contig	2019-12-22	2463	2262
ASM993271v2	GCF_009932715.2	Staphylococcus haemolyticus		SE2.14				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2396041	Complete Genome	2021-10-21	2364	2211
ASM993288v2	GCF_009932885.2	Staphylococcus haemolyticus		SE3.8				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2396207	Complete Genome	2021-10-21	2363	2210
ASM993293v2	GCF_009932935.2	Staphylococcus haemolyticus		SE3.9				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2396096	Complete Genome	2021-05-24	2362	2206
ASM1227717v1	GCF_012277175.1	Staphylococcus haemolyticus		166				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2496844	Contig	2020-04-13	2574	2270
ASM1426579v1	GCF_014265795.1	Staphylococcus haemolyticus		151250003-2-258-44				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2454295	Contig	2020-08-22	2423	2251
ASM1426612v1	GCF_014266125.1	Staphylococcus haemolyticus		IIF2*SW-P5				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2499133	Scaffold	2020-08-22	2497	2316
ASM1426630v1	GCF_014266305.1	Staphylococcus haemolyticus		IIF2*SW-P3				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2450311	Scaffold	2020-08-22	2434	2245
ASM1426692v1	GCF_014266925.1	Staphylococcus haemolyticus		IIF2SW-P4				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2471498	Contig	2020-08-22	2443	2262
ASM1426694v1	GCF_014266945.1	Staphylococcus haemolyticus		IIF2SW-P5				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2458771	Contig	2020-08-22	2435	2256
ASM1426698v1	GCF_014266985.1	Staphylococcus haemolyticus		IIF2SW-P3				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2449048	Scaffold	2020-08-22	2432	2243
ASM1477975v1	GCF_014779755.1	Staphylococcus haemolyticus		JNQH310				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2562278	Contig	2020-09-28	2624	2398
ASM1507044v1	GCF_015070445.1	Staphylococcus haemolyticus		HESN035b				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2660314	Contig	2020-10-28	2760	2496
ASM1507046v1	GCF_015070465.1	Staphylococcus haemolyticus		HESMS053a				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2396859	Contig	2020-10-28	2427	2224
ASM1507051v1	GCF_015070515.1	Staphylococcus haemolyticus		BABY089B				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2453213	Contig	2020-10-28	2489	2299
ASM1507054v1	GCF_015070545.1	Staphylococcus haemolyticus		MW015				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2873520	Contig	2020-10-28	3002	2704
ASM1507059v1	GCF_015070595.1	Staphylococcus haemolyticus		HESN072a				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2758447	Contig	2020-10-28	2844	2607
ASM1507064v1	GCF_015070645.1	Staphylococcus haemolyticus		BABY162B				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2397901	Contig	2020-10-28	2427	2234
ASM1507066v1	GCF_015070665.1	Staphylococcus haemolyticus		HESN036B				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2557090	Contig	2020-10-28	2616	2417
ASM1507068v1	GCF_015070685.1	Staphylococcus haemolyticus		HESMS017				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2462495	Contig	2020-10-28	2440	2275
ASM1507072v1	GCF_015070725.1	Staphylococcus haemolyticus		HESN094B				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2630890	Contig	2020-10-28	2684	2466
ASM1516919v1	GCF_015169195.1	Staphylococcus haemolyticus		GDY8P80P				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2771335	Complete Genome	2020-11-02	2715	2561
ASM1527368v1	GCF_015273685.1	Staphylococcus haemolyticus		R5954				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2615894	Contig	2020-11-06	2656	2438
ASM1527371v1	GCF_015273715.1	Staphylococcus haemolyticus		R5953				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2545278	Contig	2020-11-06	2573	2362
ASM1527374v1	GCF_015273745.1	Staphylococcus haemolyticus		R5952				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2597573	Contig	2020-11-06	2628	2419
ASM1527377v1	GCF_015273775.1	Staphylococcus haemolyticus		R5951				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2571339	Contig	2020-11-06	2604	2393
ASM1527436v1	GCF_015274365.1	Staphylococcus haemolyticus		R6037				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2457096	Contig	2020-11-06	2464	2276
ASM1527441v1	GCF_015274415.1	Staphylococcus haemolyticus		R6036				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2457711	Contig	2020-11-06	2451	2266
ASM1527855v1	GCF_015278555.1	Staphylococcus haemolyticus		GDY8P60P				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2719652	Scaffold	2020-11-08	2692	2467
ASM1527856v1	GCF_015278565.1	Staphylococcus haemolyticus		GDY8P80P				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2751774	Scaffold	2020-11-08	2746	2515
ASM1527859v1	GCF_015278595.1	Staphylococcus haemolyticus		GDY8P58P				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2740859	Scaffold	2020-11-08	2743	2497
ASM1527861v1	GCF_015278615.1	Staphylococcus haemolyticus		GDY8P50P				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2717555	Scaffold	2020-11-08	2698	2471
ASM1569852v1	GCF_015698525.1	Staphylococcus haemolyticus		C7				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2918952	Contig	2020-11-30	2955	2750
ASM1570398v1	GCF_015703985.1	Staphylococcus haemolyticus		GDY8P33P				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2718113	Scaffold	2020-11-30	2692	2472
ASM1573052v1	GCF_015730525.1	Staphylococcus haemolyticus		C31				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2471616	Contig	2020-12-03	2484	2336
ASM1662101v1	GCF_016621015.1	Staphylococcus haemolyticus		AA40				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2492938	Scaffold	2021-01-12	2559	2330
ASM1662103v1	GCF_016621035.1	Staphylococcus haemolyticus		AA34				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2420614	Contig	2021-01-12	2423	2223
ASM1662108v1	GCF_016621085.1	Staphylococcus haemolyticus		AA82				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2609478	Scaffold	2021-01-12	2723	2457
ASM1662110v1	GCF_016621105.1	Staphylococcus haemolyticus		AA83				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2487175	Contig	2021-01-12	2523	2300
ASM1662111v1	GCF_016621115.1	Staphylococcus haemolyticus		AA73				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2542976	Contig	2021-01-12	2611	2389
ASM1662114v1	GCF_016621145.1	Staphylococcus haemolyticus		AA42				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2626311	Scaffold	2021-01-12	2681	2417
ASM1662121v1	GCF_016621215.1	Staphylococcus haemolyticus		AA48				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2514353	Contig	2021-01-12	2550	2330
ASM1662126v1	GCF_016621265.1	Staphylococcus haemolyticus		AA12				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2569176	Contig	2021-01-12	2646	2422
ASM1662128v1	GCF_016621285.1	Staphylococcus haemolyticus		AA89				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2538876	Contig	2021-01-12	2632	2365
ASM1662129v1	GCF_016621295.1	Staphylococcus haemolyticus		AA84				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2530247	Contig	2021-01-12	2599	2379
ASM1669519v1	GCF_016695195.1	Staphylococcus haemolyticus		MSA_JNM24C1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2502707	Chromosome	2021-01-19	2449	2229
ASM1669544v1	GCF_016695445.1	Staphylococcus haemolyticus		MSA_JNM60C2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2511057	Chromosome	2021-01-19	2504	2263
ASM1683706v1	GCF_016837065.1	Staphylococcus haemolyticus		SA498				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2455454	Contig	2021-02-08	2496	2262
ASM1731566v1	GCF_017315665.1	Staphylococcus haemolyticus		HAA11				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2513798	Contig	2021-03-10	2576	2366
ASM1735500v1	GCF_017355005.1	Staphylococcus haemolyticus		7b				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2398463	Complete Genome	2021-03-15	2394	2218
ASM1735502v1	GCF_017355025.1	Staphylococcus haemolyticus		1b				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2390652	Complete Genome	2021-03-15	2383	2207
ASM1735504v1	GCF_017355045.1	Staphylococcus haemolyticus		12b				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2382565	Complete Genome	2021-03-15	2374	2200
ASM1737744v1	GCF_017377445.1	Staphylococcus haemolyticus		CN88				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2493999	Contig	2021-03-17	2530	2415
ASM1898633v1	GCF_018986335.1	Staphylococcus haemolyticus		A11				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2485414	Contig	2021-06-21	2465	2329
ASM1899690v1	GCF_018996905.1	Staphylococcus haemolyticus		A3.2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2497919	Contig	2021-06-22	2472	2351
ASM1904802v1	GCF_019048025.1	Staphylococcus haemolyticus		FDAARGOS 1453				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2568751	Complete Genome	2021-06-28	2498	2346
ASM1914920v1	GCF_019149205.1	Staphylococcus haemolyticus		K47				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2435548	Contig	2021-07-06	2389	2291
ASM1919306v1	GCF_019193065.1	Staphylococcus haemolyticus		K16.2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2459833	Contig	2021-07-11	2432	2299
ASM1922268v1	GCF_019222685.1	Staphylococcus haemolyticus		NY5				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2539247	Complete Genome	2021-07-15	2568	2378
ASM1939162v1	GCF_019391625.1	Staphylococcus haemolyticus		C				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2613798	Contig	2021-07-28	2690	2523
ASM1942636v1	GCF_019426365.1	Staphylococcus haemolyticus		B				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2668788	Contig	2021-07-30	2629	2460
ASM1942638v1	GCF_019426385.1	Staphylococcus haemolyticus		A				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2572961	Contig	2021-07-30	2577	2412
ASM1942640v1	GCF_019426405.1	Staphylococcus haemolyticus		D				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2591907	Contig	2021-07-30	2602	2428
ASM2073972v1	GCF_020739725.1	Staphylococcus haemolyticus		CEMTC_3413				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2481060	Contig	2021-11-03	2545	2321
ASM2073984v1	GCF_020739845.1	Staphylococcus haemolyticus		CEMTC_1553				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2584370	Scaffold	2021-11-03	2759	2530
ASM2073985v1	GCF_020739855.1	Staphylococcus haemolyticus		CEMTC_2688				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2402346	Contig	2021-11-03	2479	2241
ASM2073992v1	GCF_020739925.1	Staphylococcus haemolyticus		CEMTC_2119				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2460571	Scaffold	2021-11-03	2544	2298
ASM2073994v1	GCF_020739945.1	Staphylococcus haemolyticus		CEMTC_3601				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2397453	Contig	2021-11-03	2487	2225
ASM2119109v1	GCF_021191095.1	Staphylococcus haemolyticus		KM374				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2464890	Contig	2021-12-15	2514	2355
ASM2119121v1	GCF_021191215.1	Staphylococcus haemolyticus		RDU2OW				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2512730	Contig	2021-12-15	2571	2398
ASM2129655v1	GCF_021296555.1	Staphylococcus haemolyticus		MD43				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2650229	Contig	2021-12-27	2719	2496
